Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Darius Adkins","JOES",,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Darius Adkins","sa3067263",
"Andrew Dutton","AUB",,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,"Andrew Dutton","sa3067480",
"Jayden Alvarez","WAG",22,6,2,3,2,1,1,0,0,4,1,0,0,1,0,0,0,0,0,1,"Jayden Alvarez","sa3067498",
"Kellan Montgomery","LBSU",21,15,4,4,3,1,2,0,0,2,1,0,0,0,0,0,1,0,0,0.75,"Kellan Montgomery","sa3038259",
"Hideki Prather","CLEM",20,4,4,4,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0.75,"Hideki Prather","sa3066445",
"Joonsung Park","MICH",,5,3,5,2,0,1,0,1,3,4,2,1,0,0,0,0,0,0,0.666666666,"Joonsung Park","sa3039440",
"Jake Walman","HALL",,4,3,4,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0.666666666,"Jake Walman","sa3044717",
"Kevin Schnupp","MASS",,3,3,4,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0.666666666,"Kevin Schnupp","sa3066231",
"PJ Hughes","RICH",,7,3,4,2,1,1,0,0,1,2,1,1,0,0,0,0,0,0,0.666666666,"PJ Hughes","sa3066737",
"Parker Patterson","MUR",,2,5,7,3,3,0,0,0,6,2,1,0,1,0,0,0,0,0,0.6,"Parker Patterson","sa3067116",
"Cole Jenkins","AFA",,6,7,10,4,3,1,0,0,4,0,1,2,1,0,1,0,1,0,0.571428571,"Cole Jenkins","sa3066766",
"Kristian Sprawling","SIU",,8,15,21,8,7,0,0,1,4,10,4,1,2,0,0,0,4,3,0.533333333,"Kristian Sprawling","sa3065421",
"Ty Borgogno","LBSU",,4,2,4,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0.5,"Ty Borgogno","sa3027401",
"Brody Chrisman","PUR",21,2,2,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.5,"Brody Chrisman","sa3028881",
"Yohann Dessureault","STET",23,2,2,8,1,0,1,0,0,4,1,2,1,4,0,0,0,1,0,0.5,"Yohann Dessureault","sa3030205",
"Nolan Fogg","TOL",,2,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,"Nolan Fogg","sa3031505",
"Austin Hartsell","BC",22,10,2,3,1,1,0,0,0,4,0,0,1,1,0,0,0,0,0,0.5,"Austin Hartsell","sa3033354",
"Leighton Helfrick","UCD",,1,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.5,"Leighton Helfrick","sa3033555",
"Carter Hewitt","ARMY",,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"Carter Hewitt","sa3033743",
"Jackson Kraemer","RICH",21,7,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"Jackson Kraemer","sa3035671",
"John Maldonado Jr.","UTSA",22,5,4,6,2,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0.5,"John Maldonado Jr.","sa3036904",
"Leandro Perez","BCU",21,4,2,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0.5,"Leandro Perez","sa3039718",
"Maximilian Ramirez IV","NIA",24,14,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"Maximilian Ramirez IV","sa3040428",
"Jimmy Zakhar","UCSB",22,7,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,"Jimmy Zakhar","sa3045787",
"Jack Brown","LOU",,26,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,"Jack Brown","sa3058747",
"Ryder Kirtley","VT",,7,4,6,2,2,0,0,0,2,1,2,1,0,0,0,0,0,0,0.5,"Ryder Kirtley","sa3059693",
"Brant Kragel","MOST",21,9,8,11,4,3,0,0,1,4,2,2,2,1,0,0,0,0,0,0.5,"Brant Kragel","sa3059720",
"Will Lafferty","MRSH",,14,6,8,3,3,0,0,0,9,1,2,2,0,0,0,0,1,0,0.5,"Will Lafferty","sa3059742",
"Lane Lusk","NWST",,2,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,"Lane Lusk","sa3059871",
"Tualau Wolfgramm","BYU",19,13,6,7,3,1,2,0,0,4,3,1,2,0,0,0,0,0,0,0.5,"Tualau Wolfgramm","sa3062701",
"Will Dart","UTU",,16,10,10,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0.5,"Will Dart","sa3065023",
"Zach Jackson","DUKE",19,15,4,7,2,1,1,0,0,5,2,3,1,0,0,0,0,0,0,0.5,"Zach Jackson","sa3065331",
"Jay Slater","DUKE",,6,4,4,2,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0.5,"Jay Slater","sa3065609",
"Ryan Gilbert","IU",,2,2,2,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0.5,"Ryan Gilbert","sa3066058",
"Dominic Gabardi","FAIR",,3,2,3,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0.5,"Dominic Gabardi","sa3066192",
"Jarret Nielsen","HAW",,7,2,2,1,1,0,0,0,3,0,0,1,0,0,0,0,1,1,0.5,"Jarret Nielsen","sa3066222",
"Preston Heben","BEL",,8,4,4,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,"Preston Heben","sa3066433",
"Mason Poppen","SFA",,9,6,10,3,3,0,0,0,0,0,0,1,4,0,0,0,0,0,0.5,"Mason Poppen","sa3066444",
"Aidan Redahan","CCSU",,48,200,234,91,63,17,2,9,62,69,25,12,3,5,1,2,10,1,0.455,"Aidan Redahan","sa3040514",
"Nolan Johnson","MIA",,12,11,16,5,5,0,0,0,2,2,3,4,2,0,0,0,2,0,0.454545454,"Nolan Johnson","sa3059615",
"Jaxon Haynes","MVSU",,4,11,13,5,3,1,0,1,4,3,0,1,2,0,0,0,0,0,0.454545454,"Jaxon Haynes","sa3066623",
"Liam McCallum","WIN",23,20,20,23,9,7,2,0,0,3,11,2,3,1,0,0,1,0,0,0.45,"Liam McCallum","sa3037440",
"Kevin Luke","ARMY",,14,9,9,4,3,1,0,0,9,1,0,4,0,0,0,0,1,0,0.444444444,"Kevin Luke","sa3036681",
"Grant Miller","BALL",22,19,9,10,4,3,1,0,0,7,2,0,0,0,0,1,0,2,2,0.444444444,"Grant Miller","sa3038055",
"Kevin Ferguson","HAW",,5,9,10,4,3,1,0,0,3,2,1,2,0,0,0,0,0,0,0.444444444,"Kevin Ferguson","sa3065038",
"Joey Esposito","LEH",,9,9,12,4,2,1,0,1,2,3,1,2,2,0,0,0,0,0,0.444444444,"Joey Esposito","sa3066380",
"Cardell Thibodeaux","SOU",21,49,189,238,83,47,13,5,18,73,71,39,27,7,2,1,2,24,9,0.439153439,"Cardell Thibodeaux","sa3043664",
"James Schaffer","STBK",,21,32,36,14,13,1,0,0,12,10,4,1,0,0,0,1,5,1,0.4375,"James Schaffer","sa3065406",
"Konni Durschlag","HPU",,56,221,283,96,57,23,1,15,79,59,39,34,19,3,1,2,4,1,0.43438914,"Konni Durschlag","sa3030698",
"Javier Gorostola","FGCU",,18,70,79,30,21,5,1,3,12,19,6,11,2,0,1,1,1,0,0.428571428,"Javier Gorostola","sa3032506",
"Laken Tignor","GMU",,7,7,10,3,2,1,0,0,5,1,2,2,1,0,0,0,0,0,0.428571428,"Laken Tignor","sa3066346",
"Jake Duer","FAU",22,34,138,163,59,46,11,0,2,32,27,21,10,1,3,0,3,1,0,0.427536231,"Jake Duer","sa3030609",
"Logen Devenport","NKU",,46,168,215,71,38,19,0,14,52,54,32,41,10,2,3,0,19,4,0.422619047,"Logen Devenport","sa3030221",
"Cameron Nickens","APSU",21,59,237,294,100,56,24,2,18,72,71,47,28,6,4,0,5,8,4,0.421940928,"Cameron Nickens","sa3038853",
"Aiden Robbins","HALL",20,53,204,255,86,56,19,5,6,63,38,44,32,7,0,0,1,20,1,0.421568627,"Aiden Robbins","sa3040859",
"Juan Cruz","ALST",,60,255,297,107,68,23,2,14,62,73,33,22,3,6,0,5,6,0,0.419607843,"Juan Cruz","sa3029641",
"DJ Newman","BGSU",21,25,93,109,39,26,9,0,4,28,16,14,16,1,1,0,2,9,0,0.419354838,"DJ Newman","sa3038808",
"James Quinn-Irons","GMU",,61,241,298,101,59,24,2,16,74,85,39,46,16,2,0,5,36,7,0.419087136,"James Quinn-Irons","sa3040344",
"Devlin Smalanskas","UPST",,13,22,27,9,6,2,0,1,4,4,3,9,2,0,0,0,0,0,0.409090909,"Devlin Smalanskas","sa3066237",
"Brady Petit","SMC",,27,49,57,20,15,4,0,1,11,10,7,13,1,0,0,0,0,1,0.408163265,"Brady Petit","sa3060255",
"Ben Parker","W&M",24,56,231,273,94,56,23,4,11,70,50,30,33,12,0,0,2,17,4,0.406926406,"Ben Parker","sa3039445",
"Drew Wyers","BRY",22,45,145,194,59,37,11,0,11,42,50,26,17,16,7,0,5,9,1,0.406896551,"Drew Wyers","sa3045647",
"Garrett Wright","BGSU",,54,202,263,82,50,20,4,8,60,48,24,23,28,7,2,3,6,2,0.405940594,"Garrett Wright","sa3045613",
"Brent Gibbs","COFC",19,26,84,105,34,26,6,1,1,24,14,13,13,3,2,3,2,9,1,0.404761904,"Brent Gibbs","sa3032176",
"Michael DiMartini","DAY",,55,238,275,96,64,11,7,14,69,65,27,51,5,5,0,2,37,6,0.403361344,"Michael DiMartini","sa3030355",
"Jayce Tharnish","SBU",,46,196,217,79,58,11,3,7,59,29,17,27,4,0,0,2,32,1,0.403061224,"Jayce Tharnish","sa3043652",
"Matt King","ASU",22,56,216,250,87,61,18,1,7,47,55,20,20,9,5,0,3,8,2,0.402777777,"Matt King","sa3035409",
"Benny Casillas","MICH",,55,207,249,83,56,21,1,5,54,41,28,26,6,1,7,1,6,1,0.400966183,"Benny Casillas","sa3028587",
"Emmett Coco","WAG",,10,10,12,4,2,2,0,0,1,4,1,2,1,0,0,0,0,0,0.4,"Emmett Coco","sa3029089",
"Danny Infante","EIU",22,6,5,5,2,1,0,0,1,1,3,0,1,0,0,0,0,0,0,0.4,"Danny Infante","sa3034421",
"Peyton Miller","GONZ",21,7,5,8,2,2,0,0,0,1,2,1,0,2,0,0,0,0,0,0.4,"Peyton Miller","sa3038084",
"Dylan Palmer","HOF",21,53,220,248,88,67,13,7,1,47,32,16,18,6,3,3,1,32,4,0.4,"Dylan Palmer","sa3039377",
"Steven Spalitta","MSST",,12,15,16,6,4,0,1,1,4,6,1,3,0,0,0,0,0,0,0.4,"Steven Spalitta","sa3042793",
"Mason Wolf","NJIT",23,44,150,183,60,43,10,2,5,35,42,21,21,6,6,0,4,9,2,0.4,"Mason Wolf","sa3045512",
"Jayden Israel","NORF",21,25,90,112,36,29,5,1,1,18,17,17,9,4,1,0,1,4,3,0.4,"Jayden Israel","sa3059574",
"Mathew Kosuda","W&M",,8,25,29,10,5,4,0,1,8,9,3,6,1,0,0,0,0,0,0.4,"Mathew Kosuda","sa3059717",
"Aiden Harris","UVA",18,11,10,12,4,3,1,0,0,4,3,1,2,1,0,0,0,0,0,0.4,"Aiden Harris","sa3066064",
"Parker McCoy","UNC",,3,5,6,2,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0.4,"Parker McCoy","sa3066075",
"Henry Wolfe","ELON",,10,5,7,2,2,0,0,0,1,2,1,2,1,0,0,0,0,0,0.4,"Henry Wolfe","sa3066450",
"Robbie Demetree","UCF",20,5,5,5,2,1,1,0,0,1,4,0,1,0,0,0,0,0,0,0.4,"Robbie Demetree","sa3066538",
"Khalil Walker","UNM",22,53,198,227,79,54,16,5,4,48,34,18,23,5,2,4,2,2,3,0.398989898,"Khalil Walker","sa3044680",
"Bryce Phelps","WAG",,51,188,222,75,60,14,0,1,49,33,18,26,13,1,2,3,4,2,0.39893617,"Bryce Phelps","sa3039853",
"Ryan Wideman","WKU",21,60,244,283,97,61,20,6,10,71,68,23,47,12,4,0,3,45,12,0.397540983,"Ryan Wideman","sa3060916",
"Kent Schmidt","GT",,40,156,183,62,41,16,0,5,39,43,17,22,6,4,0,3,4,0,0.397435897,"Kent Schmidt","sa3041725",
"Trey Rutledge","AAMU",,41,126,182,50,39,7,3,1,56,13,37,14,15,0,4,1,34,3,0.396825396,"Trey Rutledge","sa3060456",
"Jaylen Jones","WCU",,16,53,60,21,17,2,2,0,11,14,5,7,1,0,1,0,7,2,0.396226415,"Jaylen Jones","sa3059622",
"Kerrington Cross","CIN",,56,207,273,82,57,10,3,12,65,50,50,35,11,4,1,1,15,3,0.396135265,"Kerrington Cross","sa3029598",
"Jayden Smith","UVU",,54,207,256,82,61,17,4,0,54,42,28,42,19,2,0,3,14,5,0.396135265,"Jayden Smith","sa3042571",
"Alex Lodise","FSU",21,57,235,269,93,55,18,3,17,61,67,27,54,5,2,0,3,6,0,0.39574468,"Alex Lodise","sa3036445",
"Bryce Cermenelli","CARK",,38,152,179,60,51,7,1,1,23,23,16,16,6,4,1,3,2,1,0.394736842,"Bryce Cermenelli","sa3028700",
"Adrian Dominguez","UNO",21,37,61,80,24,15,7,0,2,8,15,15,10,3,0,1,1,0,0,0.393442622,"Adrian Dominguez","sa3059067",
"Chaz Anthony","LEM",,10,28,32,11,10,1,0,0,0,4,3,4,1,0,0,0,0,0,0.392857142,"Chaz Anthony","sa3026112",
"Nick Garritano","UNLV",,14,28,32,11,8,1,1,1,7,5,4,2,0,0,0,0,0,0,0.392857142,"Nick Garritano","sa3065040",
"Jaylon Burrell","ALCN",,32,107,116,42,27,9,1,5,27,32,6,28,3,0,0,4,16,2,0.392523364,"Jaylon Burrell","sa3028101",
"Arrington Eason","SOU",,13,23,31,9,6,2,1,0,8,3,4,8,4,0,0,0,6,1,0.391304347,"Arrington Eason","sa3059108",
"Bryce Calloway","UNO",,54,205,244,80,50,10,2,18,63,63,31,60,7,1,0,5,1,2,0.390243902,"Bryce Calloway","sa3028288",
"Jacob French","CAL",,53,195,218,76,55,12,5,4,34,36,8,20,12,3,0,1,2,2,0.389743589,"Jacob French","sa3059238",
"Armani Raygoza","RGV",,52,208,243,81,47,17,0,17,47,60,26,40,9,0,0,3,2,0,0.389423076,"Armani Raygoza","sa3040491",
"Nolan Sailors","CREI",21,59,226,276,88,60,18,4,6,60,44,33,41,12,3,2,2,27,3,0.38938053,"Nolan Sailors","sa3041417",
"Isaiah Barkett","STET",21,54,221,256,86,67,16,1,2,60,33,25,9,6,2,2,4,32,6,0.389140271,"Isaiah Barkett","sa3026572",
"Bradley Garner","VMI",,52,198,250,77,44,20,3,10,62,59,40,39,5,3,4,5,23,4,0.388888888,"Bradley Garner","sa3031981",
"Wes Lug","OHIO",22,11,18,22,7,3,2,0,2,5,5,1,6,2,1,0,0,0,0,0.388888888,"Wes Lug","sa3036668",
"Brayden Simpson","HPU",21,58,234,279,91,45,24,0,22,75,78,24,46,18,3,0,4,14,1,0.388888888,"Brayden Simpson","sa3042335",
"Braden Burress","ECU",,61,211,257,82,67,11,0,4,55,33,31,26,11,1,3,3,18,4,0.388625592,"Braden Burress","sa3058778",
"Scott Campbell","UPST",,55,188,234,73,51,11,0,11,71,54,20,25,23,2,1,3,21,3,0.388297872,"Scott Campbell","sa3058803",
"Dyrenson Wouters","DAY",,46,152,188,59,42,12,0,5,40,34,16,12,12,5,3,3,5,3,0.388157894,"Dyrenson Wouters","sa3060969",
"Damian Ruiz","LAM",,56,214,274,83,52,22,2,7,76,46,50,27,6,2,2,4,14,1,0.387850467,"Damian Ruiz","sa3041281",
"Jordy Oriach","UNM",,52,214,253,83,40,25,2,16,65,63,29,29,7,3,0,4,1,1,0.387850467,"Jordy Oriach","sa3060180",
"Luke Nowak","UIC",22,53,222,257,86,61,17,3,5,55,37,28,37,3,4,0,1,28,2,0.387387387,"Luke Nowak","sa3038960",
"Matt Ineich","OHIO",19,36,142,173,55,43,9,0,3,28,25,21,11,3,3,4,0,9,5,0.387323943,"Matt Ineich","sa3059564",
"Trevor Cohen","RUTG",,57,235,273,91,64,24,1,2,45,36,30,15,4,3,1,3,19,3,0.387234042,"Trevor Cohen","sa3029111",
"Zandt Payne","ACU",,44,145,188,56,39,12,1,4,36,38,19,20,18,5,1,1,10,6,0.386206896,"Zandt Payne","sa3039588",
"Kyle Gordon","CCSU",,30,83,108,32,21,8,1,2,27,19,13,8,7,1,4,0,8,0,0.385542168,"Kyle Gordon","sa3032482",
"Owen Prince","VMI",22,53,213,272,82,67,13,0,2,63,44,46,25,8,3,2,4,46,13,0.384976525,"Owen Prince","sa3040219",
"Lukas Cook","PUR",,40,143,161,55,43,10,1,1,31,21,11,26,2,3,2,3,7,3,0.384615384,"Lukas Cook","sa3029305",
"Ethan Walker","UNA",,13,13,15,5,3,1,0,1,6,3,1,3,0,0,1,0,3,0,0.384615384,"Ethan Walker","sa3044667",
"Carson Mynatt","WES",,11,13,17,5,4,1,0,0,4,2,2,6,1,1,0,0,1,0,0.384615384,"Carson Mynatt","sa3065371",
"Beckett Zavorek","ASU",19,13,26,29,10,9,1,0,0,6,4,2,4,1,0,0,2,2,0,0.384615384,"Beckett Zavorek","sa3065454",
"Henry Zipay","OMA",,48,185,224,71,49,15,5,2,43,25,23,46,9,0,7,2,3,1,0.383783783,"Henry Zipay","sa3045872",
"Arjun Huerta","JKST",,35,102,138,39,29,5,3,2,33,28,25,20,1,5,5,3,6,1,0.382352941,"Arjun Huerta","sa3034239",
"Sean OLeary","UML",,10,34,39,13,8,2,0,3,9,11,4,6,1,0,0,0,0,0,0.382352941,"Sean OLeary","sa3039099",
"Kyle Fossum","YSU",22,57,220,274,84,43,18,0,23,67,62,46,53,6,2,0,3,9,4,0.381818181,"Kyle Fossum","sa3031570",
"Kelton Phillips","TXSO",,49,158,193,60,43,11,1,5,51,36,23,12,7,0,5,2,22,7,0.379746835,"Kelton Phillips","sa3060264",
"Eli Anderson","PUR",21,39,79,91,30,27,2,1,0,13,19,2,12,3,5,2,0,19,4,0.379746835,"Eli Anderson","sa3062806",
"Brady Powell","RAD",,15,29,34,11,9,1,0,1,6,6,3,5,2,0,0,0,3,2,0.379310344,"Brady Powell","sa3040145",
"Tyler Howard","PORT",21,39,153,187,58,46,9,0,3,29,27,29,23,3,2,0,3,0,1,0.379084967,"Tyler Howard","sa3034172",
"CJ Moran","SDSU",,44,159,192,60,44,15,1,0,25,36,20,22,8,5,0,2,1,1,0.37735849,"CJ Moran","sa3060083",
"Dean Toigo","UNLV",,54,220,255,83,52,13,0,18,44,74,20,40,10,4,1,1,5,2,0.377272727,"Dean Toigo","sa3060763",
"Colby Shelton","FLA",22,45,175,203,66,40,19,0,7,40,35,21,24,6,1,0,3,6,3,0.377142857,"Colby Shelton","sa3042129",701333
"Tatum Marsh","STAN",,50,175,212,66,48,13,2,3,47,25,11,24,19,4,3,4,4,6,0.377142857,"Tatum Marsh","sa3059925",
"Joe Tiroly","RID",,52,199,241,75,39,16,2,18,66,70,36,25,5,1,0,3,6,3,0.376884422,"Joe Tiroly","sa3043858",
"Ahmar Donatto","PV",,51,178,203,67,40,14,5,8,43,35,18,37,5,0,2,0,13,4,0.376404494,"Ahmar Donatto","sa3030448",
"Kade Lewis","WAKE",20,60,226,282,85,56,18,0,11,46,59,45,45,6,5,0,3,4,1,0.376106194,"Kade Lewis","sa3036307",
"Dylan Grego","BALL",21,58,242,276,91,61,14,2,14,58,55,22,44,5,6,1,2,15,5,0.376033057,"Dylan Grego","sa3032686",
"Jermel Ford","ALCN",,44,125,144,47,35,8,4,0,32,20,13,22,4,1,1,0,42,3,0.376,"Jermel Ford","sa3031543",
"Jordan McCladdie","JKST",22,51,181,243,68,47,12,5,4,65,32,44,22,12,1,5,2,49,4,0.375690607,"Jordan McCladdie","sa3037469",
"Chris Baillargeon","HC",21,58,205,263,77,56,18,0,3,39,52,38,48,14,6,0,3,5,1,0.375609756,"Chris Baillargeon","sa3026413",
"Hayden Jatczak","KENT",23,56,213,269,80,32,28,4,16,79,81,46,37,6,4,0,4,10,2,0.375586854,"Hayden Jatczak","sa3059585",
"Chipper Beck","BYU",,13,32,35,12,9,0,0,3,5,12,3,9,0,0,0,0,0,0,0.375,"Chipper Beck","sa3026831",
"Jordan Crosland","MD",20,4,8,14,3,2,0,0,1,3,1,2,4,4,0,0,0,1,0,0.375,"Jordan Crosland","sa3029593",
"Christopher Hacopian","MD",20,52,192,249,72,46,12,0,14,51,61,40,19,13,4,0,1,1,2,0.375,"Christopher Hacopian","sa3032936",
"LaMarcus Jones","GRAM",24,18,16,24,6,3,2,0,1,10,4,6,4,2,0,0,1,1,1,0.375,"LaMarcus Jones","sa3034890",
"Ryan King","URI",21,15,24,31,9,4,2,0,3,6,8,3,4,3,0,1,1,0,1,0.375,"Ryan King","sa3035414",
"Nick Gallello","HOF",,22,40,48,15,13,1,0,1,11,9,4,8,2,1,1,1,0,1,0.375,"Nick Gallello","sa3059260",
"Ethan Surowiec","MISS",,11,16,21,6,4,0,0,2,5,8,2,7,3,0,0,0,0,0,0.375,"Ethan Surowiec","sa3065146",
"Trey Fenderson","PRES",21,51,163,202,61,42,16,1,2,36,24,27,25,6,1,5,1,14,3,0.374233128,"Trey Fenderson","sa3031237",
"Devin Taylor","IU",21,55,214,269,80,47,13,2,18,63,66,52,30,1,2,0,4,12,4,0.373831775,"Devin Taylor","sa3043560",
"Dean Ferrara","FAIR",,58,265,302,99,77,14,0,8,65,57,28,28,4,4,1,4,21,2,0.373584905,"Dean Ferrara","sa3031269",
"Chone James","UVA",,26,67,77,25,19,5,1,0,16,11,9,16,1,0,0,2,4,0,0.373134328,"Chone James","sa3066201",
"Daniel Figueroa","BCU",,43,86,108,32,25,7,0,0,22,24,13,20,5,3,1,0,17,1,0.372093023,"Daniel Figueroa","sa3031313",
"Nicolas Notarangelo","URI",23,37,129,161,48,30,9,3,6,29,25,22,19,6,2,2,3,15,6,0.372093023,"Nicolas Notarangelo","sa3060155",
"Ethan Conrad","WAKE",20,21,78,97,29,14,8,0,7,30,27,18,14,1,0,0,2,4,1,0.371794871,"Ethan Conrad","sa3029266",
"Jack Moroknek","BUT",22,54,218,253,81,46,16,1,18,57,57,26,41,5,4,0,1,2,1,0.371559633,"Jack Moroknek","sa3038388",
"Cider Canon","DAV",,48,202,239,75,39,16,3,17,65,52,28,47,7,2,0,2,10,1,0.371287128,"Cider Canon","sa3028372",
"Roberto Gonzalez","CSUN",23,45,167,206,62,39,10,8,5,39,30,21,28,14,1,3,1,9,4,0.371257485,"Roberto Gonzalez","sa3032441",
"Jack Gurevitch","USD",21,56,229,277,85,50,16,2,17,56,56,35,43,12,1,0,4,5,3,0.371179039,"Jack Gurevitch","sa3032859",
"Cole Kitchens","USI",21,53,221,243,82,51,18,1,12,39,60,14,35,6,2,0,7,1,3,0.371040723,"Cole Kitchens","sa3059694",
"LeTrey McCollum","UCSB",,54,213,256,79,59,10,4,6,49,40,26,29,15,0,2,2,17,5,0.370892018,"LeTrey McCollum","sa3037486",
"Vincent Venverloh","USD",,16,27,37,10,8,2,0,0,5,11,5,7,3,0,2,0,0,0,0.37037037,"Vincent Venverloh","sa3066409",
"Ryland Zaborowski","UGA",23,45,146,184,54,27,10,0,17,41,61,29,40,9,0,0,3,0,0,0.369863013,"Ryland Zaborowski","sa3045777",
"Aidan Paradine","SIE",20,53,192,232,71,53,11,0,7,48,41,23,18,16,1,0,11,0,1,0.369791666,"Aidan Paradine","sa3060208",
"Caylon Dygert","UTA",,28,46,56,17,13,3,0,1,8,15,6,11,4,0,0,0,1,0,0.369565217,"Caylon Dygert","sa3030720",
"Tyler Lang","UPST",,15,46,51,17,12,3,0,2,8,10,2,8,3,0,0,2,0,0,0.369565217,"Tyler Lang","sa3035932",
"James Layman","WOF",,49,157,205,58,44,11,2,1,46,33,26,43,15,3,4,2,23,6,0.369426751,"James Layman","sa3036085",
"Daniel Cuvet","MIA",20,60,222,265,82,44,19,1,18,56,84,30,51,7,6,0,4,6,1,0.369369369,"Daniel Cuvet","sa3029748",
"Easton Dowell","MCN",,49,176,201,65,40,17,1,7,34,37,14,19,4,4,3,3,10,5,0.369318181,"Easton Dowell","sa3030524",
"Landon Williams","PV",21,51,168,216,62,37,12,1,12,45,51,27,37,10,8,3,2,3,0,0.369047619,"Landon Williams","sa3060931",
"Tyler Bickers","MILW",22,58,225,278,83,65,11,3,4,50,42,46,45,5,2,0,0,7,5,0.368888888,"Tyler Bickers","sa3027135",
"Michael O'Shaughnessy","DAV",21,56,217,274,80,44,19,0,17,56,70,29,49,23,5,0,4,1,1,0.368663594,"Michael O'Shaughnessy","sa3039240",
